epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,98.5897,0.8656,0.76101,0.89362,0.00985,1,0.995,0.6935,1.09407,2.39749,1.01359,0.000915063,0.000915063,0.000915063
74,99.9234,0.83813,0.77761,0.85006,0.00982,1,0.995,0.71953,1.00036,2.32865,0.97721,0.000923756,0.000923756,0.000923756
75,101.207,0.90399,0.84365,0.87456,0.00982,1,0.995,0.71953,1.00036,2.32865,0.97721,0.00093234,0.00093234,0.00093234
76,102.517,0.85582,0.75948,0.86074,0.9573,1,0.995,0.71133,1.00927,2.25851,0.98748,0.000940813,0.000940813,0.000940813
77,103.833,0.83513,0.79731,0.85638,0.9573,1,0.995,0.71133,1.00927,2.25851,0.98748,0.000949176,0.000949176,0.000949176
78,105.146,0.86318,0.77577,0.88427,1,0.56364,0.995,0.65909,1.1587,2.24322,1.06263,0.00095743,0.00095743,0.00095743
79,106.445,0.87187,0.75346,0.84687,1,0.56364,0.995,0.65909,1.1587,2.24322,1.06263,0.000965573,0.000965573,0.000965573
80,107.783,0.86529,0.78138,0.85921,1,0.5012,0.995,0.65856,1.11972,2.14323,1.0702,0.000973606,0.000973606,0.000973606
81,109.119,0.81048,0.71943,0.84463,1,0.5012,0.995,0.65856,1.11972,2.14323,1.0702,0.00098153,0.00098153,0.00098153
82,110.489,0.85611,0.74095,0.85767,1,0.55444,0.995,0.6775,1.00309,1.98404,1.01211,0.000989343,0.000989343,0.000989343
83,111.823,0.89938,0.73867,0.85506,1,0.55444,0.995,0.6775,1.00309,1.98404,1.01211,0.000997046,0.000997046,0.000997046
84,113.15,0.91787,0.76352,0.8584,1,0.5691,0.995,0.69487,0.96681,1.89597,1.00957,0.00100464,0.00100464,0.00100464
85,114.464,0.88211,0.81174,0.85142,1,0.5691,0.995,0.69487,0.96681,1.89597,1.00957,0.00101212,0.00101212,0.00101212
86,115.826,0.90166,0.75713,0.84449,1,0.55618,0.995,0.67366,0.98905,1.89459,1.01892,0.0010195,0.0010195,0.0010195
87,117.142,0.80072,0.8098,0.86826,1,0.55618,0.995,0.67366,0.98905,1.89459,1.01892,0.00102676,0.00102676,0.00102676
88,118.5,0.81138,0.72229,0.83514,1,0.4285,0.995,0.66984,1.12536,1.94302,1.06415,0.00103391,0.00103391,0.00103391
89,119.813,0.9945,0.73107,0.87792,1,0.4285,0.995,0.66984,1.12536,1.94302,1.06415,0.00104095,0.00104095,0.00104095
90,121.139,0.89369,0.74196,0.87681,1,0.43413,0.995,0.6494,1.1561,1.96382,1.08037,0.00104789,0.00104789,0.00104789
91,122.46,0.87742,0.75745,0.88237,1,0.43413,0.995,0.6494,1.1561,1.96382,1.08037,0.00105471,0.00105471,0.00105471
92,123.825,0.81738,0.74312,0.85882,0.94961,0.54441,0.97833,0.6248,1.18289,1.82744,1.08836,0.00106142,0.00106142,0.00106142
93,125.147,0.92424,0.77465,0.86144,0.94961,0.54441,0.97833,0.6248,1.18289,1.82744,1.08836,0.00106803,0.00106803,0.00106803
94,126.497,0.85324,0.69748,0.86096,1,0.87687,0.995,0.65978,1.10733,1.60678,1.05604,0.00107452,0.00107452,0.00107452
95,127.812,0.88829,0.75239,0.86955,1,0.87687,0.995,0.65978,1.10733,1.60678,1.05604,0.0010809,0.0010809,0.0010809
96,129.159,0.86061,0.70911,0.87113,1,0.95775,0.995,0.63662,1.1858,1.51006,1.06648,0.00108718,0.00108718,0.00108718
97,130.462,0.86384,0.72854,0.87763,1,0.95775,0.995,0.63662,1.1858,1.51006,1.06648,0.00109334,0.00109334,0.00109334
98,131.812,0.96658,0.73875,0.87698,1,0.92857,0.995,0.62909,1.24381,1.58469,1.08348,0.00109939,0.00109939,0.00109939
99,133.11,0.80189,0.68609,0.87015,1,0.92857,0.995,0.62909,1.24381,1.58469,1.08348,0.00110533,0.00110533,0.00110533
100,134.458,0.84244,0.71836,0.84332,1,0.86326,0.995,0.65711,1.18664,1.61202,1.07865,0.00111117,0.00111117,0.00111117
101,135.782,0.83284,0.6754,0.85388,1,0.86326,0.995,0.65711,1.18664,1.61202,1.07865,0.00111689,0.00111689,0.00111689
102,137.124,0.87532,0.70508,0.8351,1,0.96499,0.995,0.64634,1.23112,1.48231,1.1049,0.00111139,0.00111139,0.00111139
103,138.454,0.83237,0.71327,0.84149,1,0.96499,0.995,0.64634,1.23112,1.48231,1.1049,0.00110589,0.00110589,0.00110589
104,139.808,0.7799,0.66058,0.85498,0.97894,1,0.995,0.70517,1.05851,1.31026,1.04365,0.00110039,0.00110039,0.00110039
105,141.138,0.82363,0.68565,0.85262,0.97894,1,0.995,0.70517,1.05851,1.31026,1.04365,0.00109489,0.00109489,0.00109489
106,142.496,0.81428,0.76159,0.87017,0.97615,0.99835,0.995,0.70365,1.00692,1.32056,1.02103,0.00108938,0.00108938,0.00108938
107,143.785,0.87484,0.62954,0.84648,0.97615,0.99835,0.995,0.70365,1.00692,1.32056,1.02103,0.00108388,0.00108388,0.00108388
108,145.132,0.87728,0.71072,0.88387,0.97183,0.98802,0.995,0.68286,1.07323,1.30745,1.04688,0.00107838,0.00107838,0.00107838
109,146.442,0.77549,0.66228,0.84471,0.97183,0.98802,0.995,0.68286,1.07323,1.30745,1.04688,0.00107288,0.00107288,0.00107288
110,147.785,0.75334,0.66014,0.85631,0.98565,0.98342,0.995,0.65128,1.2176,1.18602,1.11703,0.00106738,0.00106738,0.00106738
111,149.097,0.81016,0.70851,0.83998,0.98565,0.98342,0.995,0.65128,1.2176,1.18602,1.11703,0.00106188,0.00106188,0.00106188
112,150.416,0.79109,0.72543,0.85211,0.98209,0.98166,0.995,0.68625,1.13271,1.08995,1.09567,0.00105638,0.00105638,0.00105638
113,151.73,0.7792,0.65303,0.85525,0.98209,0.98166,0.995,0.68625,1.13271,1.08995,1.09567,0.00105088,0.00105088,0.00105088
114,153.1,0.83021,0.67329,0.84748,0.96694,0.97271,0.995,0.6991,1.01765,1.01611,1.04384,0.00104538,0.00104538,0.00104538
115,154.413,0.68415,0.64788,0.83468,0.96694,0.97271,0.995,0.6991,1.01765,1.01611,1.04384,0.00103987,0.00103987,0.00103987
116,155.787,0.72921,0.66061,0.83829,0.95186,0.9805,0.995,0.72008,0.96106,1.02266,1.01943,0.00103437,0.00103437,0.00103437
117,157.107,0.75045,0.61341,0.8625,0.95186,0.9805,0.995,0.72008,0.96106,1.02266,1.01943,0.00102887,0.00102887,0.00102887
118,158.468,0.80721,0.6579,0.83239,0.95283,0.97638,0.995,0.71799,0.99387,1.06489,1.02453,0.00102337,0.00102337,0.00102337
119,159.81,0.71839,0.65969,0.84994,0.95283,0.97638,0.995,0.71799,0.99387,1.06489,1.02453,0.00101787,0.00101787,0.00101787
120,161.118,0.72117,0.63434,0.83748,0.95732,0.97167,0.995,0.71087,1.009,1.1296,1.02567,0.00101237,0.00101237,0.00101237
121,162.44,0.71124,0.63724,0.82983,0.95732,0.97167,0.995,0.71087,1.009,1.1296,1.02567,0.00100687,0.00100687,0.00100687
122,163.782,0.73491,0.65243,0.85471,0.9581,0.97329,0.995,0.73227,0.90412,1.05255,1.00289,0.00100137,0.00100137,0.00100137
123,165.072,0.75883,0.61954,0.83995,0.9581,0.97329,0.995,0.73227,0.90412,1.05255,1.00289,0.000995866,0.000995866,0.000995866
124,166.402,0.68279,0.60245,0.82829,0.97801,0.96245,0.995,0.7114,0.88932,0.90508,1.02201,0.000990365,0.000990365,0.000990365
125,167.729,0.66505,0.59749,0.84379,0.97801,0.96245,0.995,0.7114,0.88932,0.90508,1.02201,0.000984864,0.000984864,0.000984864
126,169.085,0.71658,0.65364,0.85944,0.93944,0.98464,0.995,0.71701,0.95754,0.89544,1.0536,0.000979362,0.000979362,0.000979362
127,170.398,0.67915,0.60124,0.85011,0.93944,0.98464,0.995,0.71701,0.95754,0.89544,1.0536,0.000973861,0.000973861,0.000973861
128,171.738,0.6439,0.62989,0.83561,0.93302,0.96746,0.995,0.67093,1.10213,1.10163,1.08364,0.00096836,0.00096836,0.00096836
129,173.058,0.68982,0.59177,0.8143,0.93302,0.96746,0.995,0.67093,1.10213,1.10163,1.08364,0.000962859,0.000962859,0.000962859
